Nama Tempat,Kategori Tempat,Wilayah,Rating Tempat,User Rating,Harga Masuk,RatingNorm,ReviewNorm,TicketNorm,TicketScore,Popularitas,Persentase Kontribusi,Persentase Kumulatif,Kategori ABC
Kampoeng Tulip,Taman Hiburan,Kota Bandung,3.8,30,15000,0.0,0.7307692307692308,0.04,0.96,0.4112307692307693,0.5529199607283849,95.84234703588294,C
Curug Cipanas,Cagar Alam,Kota Bandung,3.9,25,20000,0.09090909090909127,0.5384615384615384,0.05333333333333334,0.9466666666666667,0.3963263403263405,0.5328802242564984,96.37522726013944,C
Kebun Binatang Bandung,Cagar Alam,Kota Bandung,4.0,21,20000,0.1818181818181821,0.3846153846153846,0.05333333333333334,0.9466666666666667,0.39562703962703977,0.5319399801305106,96.90716724026996,C
Taman Kupu-Kupu Cihanjuang,Cagar Alam,Kota Bandung,4.0,20,10000,0.1818181818181821,0.34615384615384615,0.02666666666666667,0.9733333333333334,0.38942191142191157,0.5235968805859121,97.43076412085587,C
Curug Dago,Cagar Alam,Lembang,4.0,19,12000,0.1818181818181821,0.3076923076923077,0.032,0.968,0.37681678321678336,0.5066486668002734,97.93741278765614,C
Kampung Korea Bandung,Budaya,Kota Bandung,4.1,13,15000,0.2727272727272725,0.07692307692307687,0.04,0.96,0.3514405594405593,0.47252908795642784,98.40994187561257,C
Upside Down World Bandung,Taman Hiburan,Kota Bandung,4.0,19,100000,0.1818181818181821,0.3076923076923077,0.26666666666666666,0.7333333333333334,0.3298834498834501,0.4435444956993111,98.85348637131189,C
Pemandian Air Panas Cimanggu,Cagar Alam,Kota Bandung,3.9,18,23000,0.09090909090909127,0.26923076923076916,0.06133333333333334,0.9386666666666666,0.31395710955710976,0.4221307491446476,99.27561712045653,C
Rabbit Town,Taman Hiburan,Kota Bandung,4.0,13,45000,0.1818181818181821,0.07692307692307687,0.12000000000000001,0.88,0.28998601398601415,0.3899004341646205,99.66551755462115,C
Tektona Waterpark,Taman Hiburan,Kota Bandung,3.8,18,60000,0.0,0.26923076923076916,0.16,0.84,0.24876923076923074,0.3344824453788994,100.00000000000004,C
